Code,Cause,ISO3,Year,Sex,Age Group,Population,Deaths,Death rate per 100 000 population,DALY,DALY rate per 100 000 population
1130,Ischaemic heart disease,AUS,2015,MLE,YEARS60-64,629071,720.89,114.6,21530.31,3422.56
680,"Trachea, bronchus, lung cancers",AUS,2015,MLE,YEARS60-64,629071,490.27,77.94,14273.68,2269.01
650,Colon and rectum cancers,AUS,2015,MLE,YEARS60-64,629071,283.74,45.1,8786.86,1396.8
1180,Chronic obstructive pulmonary disease,AUS,2015,MLE,YEARS60-64,629071,176.58,28.07,8027.11,1276.03
1230,Cirrhosis of the liver,AUS,2015,MLE,YEARS60-64,629071,163.29,25.96,4740.27,753.53
740,Prostate cancer,AUS,2015,MLE,YEARS60-64,629071,160.92,25.58,6425.14,1021.37
670,Pancreas cancer,AUS,2015,MLE,YEARS60-64,629071,158.7,25.23,4592.55,730.05
660,Liver cancer,AUS,2015,MLE,YEARS60-64,629071,157.71,25.07,4564.08,725.53
1140,Stroke,AUS,2015,MLE,YEARS60-64,629071,153.65,24.42,5709.51,907.61
800,Diabetes mellitus,AUS,2015,MLE,YEARS60-64,629071,140.92,22.4,11624.05,1847.81
751,Brain and nervous system cancers,AUS,2015,MLE,YEARS60-64,629071,132.84,21.12,3850.25,612.05
690,Melanoma and other skin cancers,AUS,2015,MLE,YEARS60-64,629071,132.55,21.07,4379.68,696.21
760,"Lymphomas, multiple myeloma",AUS,2015,MLE,YEARS60-64,629071,131.44,20.89,4045.02,643.01
1610,Self-harm,AUS,2015,MLE,YEARS60-64,629071,127.16,20.21,3853.57,612.58
630,Oesophagus cancer,AUS,2015,MLE,YEARS60-64,629071,114.95,18.27,3339.66,530.89
620,Mouth and oropharynx cancers,AUS,2015,MLE,YEARS60-64,629071,100.76,16.02,2971.33,472.34
770,Leukaemia,AUS,2015,MLE,YEARS60-64,629071,83.25,13.23,2500.64,397.51
745,Kidney cancer,AUS,2015,MLE,YEARS60-64,629071,78.84,12.53,2389.6,379.86
1150,"Cardiomyopathy, myocarditis, endocarditis",AUS,2015,MLE,YEARS60-64,629071,78.62,12.5,2501.6,397.67
640,Stomach cancer,AUS,2015,MLE,YEARS60-64,629071,74.48,11.84,2204.3,350.41
390,Lower respiratory infections,AUS,2015,MLE,YEARS60-64,629071,45.36,7.21,1327.74,211.06
950,Alzheimer disease and other dementias,AUS,2015,MLE,YEARS60-64,629071,45.36,7.21,2171.14,345.13
750,Bladder cancer,AUS,2015,MLE,YEARS60-64,629071,42.69,6.79,1367.11,217.32
755,Mesothelioma,AUS,2015,MLE,YEARS60-64,629071,40.5,6.44,1187.61,188.79
1530,Road injury,AUS,2015,MLE,YEARS60-64,629071,38.09,6.05,2394.37,380.62
870,Drug use disorders,AUS,2015,MLE,YEARS60-64,629071,33.2,5.28,1593.88,253.37
1270,Kidney diseases,AUS,2015,MLE,YEARS60-64,629071,32.65,5.19,1901.95,302.34
1550,Falls,AUS,2015,MLE,YEARS60-64,629071,31.54,5.01,6369.96,1012.6
860,Alcohol use disorders,AUS,2015,MLE,YEARS60-64,629071,31.25,4.97,2630.14,418.1
200,Acute hepatitis C,AUS,2015,MLE,YEARS60-64,629071,30.24,4.81,867.54,137.91
1400,Congenital anomalies,AUS,2015,MLE,YEARS60-64,629071,29.23,4.65,1080.71,171.79
